86,55
200,58
258,91
312,65
367,93
452,62
561,71
503,93
609,99
659,75
702,101
702,185
651,159
601,182
499,183
447,155
364,184
259,184
204,152
152,183
96,149
83,249
146,249
204,244
263,245
433,246
542,250
597,250
647,250
702,253
695,307
647,310
595,308
542,307
433,304
376,304
264,306
150,308
94,305
95,363
152,367
211,366
265,362
319,361
377,364
432,362
482,363
538,364
592,359
642,360
689,363
691,412
586,415
533,416
427,416
375,418
319,418
267,419
213,419
106,419
108,476
163,475
211,475
268,475
327,473
479,469
635,469
689,469
678,521
632,519
582,519
480,519
430,520
380,523
325,523
113,526
111,578
168,579
273,578
325,577
375,571
479,572
631,568
681,568
672,613
626,661
576,620
664,702
526,666
478,665
430,626
324,626
378,714
279,671
222,625
122,629
122,676
174,674
127,725
136,769
236,770
424,760
614,755
659,746
733,833
680,835
632,835
589,838
568,794
549,839
520,796
493,842
475,798
447,847
425,805
378,801
395,853
348,848
328,807
301,851
285,810
233,811
254,850
208,853
185,812
138,814
155,854
110,856
59,861
