62,42,103,77
138,36,170,87
170,9,262,81
288,13,305,34
340,4,425,80
170,70,205,106
88,79,147,111
484,11,535,77
465,56,489,76
561,9,596,40
630,8,664,40
693,5,760,59
737,47,765,92
771,12,809,42
831,5,886,50
240,81,275,107
286,91,306,102
320,68,345,123
358,91,386,111
379,107,404,135
413,77,465,122
477,111,492,133
505,94,546,126
571,44,650,108
642,100,665,117
699,88,727,113
766,85,798,120
770,59,795,78
804,34,847,81
891,30,953,97
929,93,956,116
893,114,933,154
14,140,83,213
67,114,92,138
99,118,130,132
99,144,134,179
135,108,208,148
213,119,235,138
200,135,223,157
236,109,274,141
310,124,343,164
284,143,305,168
250,156,271,172
177,154,201,173
165,177,196,200
136,189,164,217
88,182,112,207
30,226,55,250
58,235,96,249
99,214,134,253
143,222,163,244
174,237,196,253
188,176,271,251
277,220,302,248
275,243,287,259
277,170,335,232
343,178,362,201
361,165,388,185
397,201,419,219
399,132,485,213
490,98,578,161
587,118,605,129
485,177,547,195
473,216,492,231
601,129,629,151
661,123,697,153
715,108,768,166
789,122,825,161
835,72,868,129
869,131,893,149
933,125,968,166
961,155,992,190
969,185,1018,237
1009,221,1043,258
1063,162,1093,196
1076,256,1098,336
1085,343,1099,355
1031,422,1094,512
1031,515,1053,532
618,141,668,196
694,145,722,201
757,159,790,184
718,181,769,225
774,207,790,222
788,181,880,267
828,199,842,215
841,190,897,245
885,152,923,188
903,187,959,232
966,263,1009,288
881,240,967,316
562,154,601,196
340,218,374,259
64,248,111,294
116,254,183,288
213,253,247,288
183,279,216,308
116,283,136,310
83,310,120,356
143,309,188,351
119,334,174,368
237,273,284,316
288,238,342,314
355,273,378,300
510,195,520,229
494,223,526,251
529,228,549,247
524,191,554,226
598,191,625,225
636,200,648,224
623,228,652,255
650,242,672,266
651,188,711,252
723,227,751,263
758,219,785,267
774,252,815,293
842,265,875,285
850,290,873,308
201,321,221,336
225,316,249,339
275,311,290,331
292,315,329,355
186,336,239,364
113,370,132,391
135,372,207,421
206,369,224,388
122,415,151,448
234,352,278,397
271,340,291,363
213,386,235,412
151,427,203,478
128,464,146,480
135,479,160,501
185,479,214,509
164,506,199,526
125,502,181,584
194,415,274,491
261,478,281,500
274,393,303,422
282,446,317,472
217,497,228,518
232,504,254,526
227,528,242,542
178,542,232,593
244,529,310,555
233,560,259,582
153,585,180,608
151,611,174,634
154,636,188,658
179,616,206,640
198,587,244,616
269,582,298,607
290,557,323,589
321,531,343,553
276,497,331,541
313,459,354,504
304,406,356,455
338,381,368,413
308,355,324,375
301,368,313,399
214,608,280,641
209,642,223,660
184,657,216,684
166,678,184,715
234,642,257,664
251,659,266,681
337,307,374,369
210,686,244,708
186,700,222,738
167,753,177,764
172,770,183,778
174,779,202,805
211,807,225,819
180,831,195,850
173,874,187,892
213,873,229,890
219,813,270,862
262,807,283,823
281,774,319,810
236,784,253,801
261,781,273,793
252,759,286,784
188,730,290,762
205,759,229,777
258,660,321,733
287,708,333,766
314,756,339,774
342,780,363,795
320,806,338,815
296,832,311,845
348,826,365,846
317,849,338,866
311,871,324,886
357,867,386,894
273,620,312,656
298,608,325,633
321,630,365,662
324,666,340,680
332,680,366,709
358,664,386,690
357,694,402,739
388,728,418,760
362,751,393,780
398,779,413,797
365,800,391,828
397,824,419,844
428,760,444,780
413,794,448,827
422,842,444,871
446,824,474,843
479,846,493,859
469,864,480,875
472,781,523,825
499,773,525,795
451,779,468,797
473,758,498,775
445,720,475,772
408,709,449,733
395,680,418,702
412,657,442,684
378,627,422,663
353,610,388,632
318,574,353,616
357,584,372,602
329,553,350,579
353,558,370,578
375,571,426,618
426,577,441,589
419,558,435,577
437,556,461,574
342,486,434,575
382,481,403,501
400,495,419,511
416,497,443,520
436,472,474,511
466,500,498,528
436,523,467,553
459,543,473,561
474,537,490,549
533,803,548,818
523,843,548,860
512,867,533,891
406,292,428,311
394,303,412,322
371,298,390,316
392,319,431,356
371,357,394,386
405,361,424,376
386,379,436,420
367,412,415,462
350,448,372,471
433,428,457,449
411,436,433,482
446,454,463,467
458,430,497,457
499,409,527,447
440,380,518,433
419,336,478,395
477,363,498,382
496,357,520,382
450,320,502,350
425,290,471,326
453,249,502,296
494,282,544,330
372,212,468,287
493,248,545,265
520,258,558,296
561,285,574,299
565,261,596,289
593,263,610,283
609,252,623,270
552,199,609,267
654,263,693,294
696,251,724,281
721,260,743,286
713,285,728,303
676,288,715,329
600,275,664,337
592,327,617,355
617,338,642,356
559,335,592,350
512,301,591,364
543,347,589,382
518,376,555,401
624,339,678,382
599,363,618,382
577,385,628,416
533,402,592,450
603,412,616,433
626,417,647,439
625,394,641,415
681,343,698,364
705,365,720,381
729,361,743,377
706,323,742,360
742,353,772,378
729,273,791,336
768,319,812,365
773,361,791,382
795,376,817,396
805,356,827,380
804,280,841,328
831,309,882,365
896,311,933,355
938,315,952,334
957,316,993,355
905,353,920,372
921,354,957,376
814,386,873,431
865,415,884,440
935,363,984,435
984,407,1002,453
887,385,927,411
884,416,908,442
909,422,925,439
929,414,942,437
918,441,937,458
875,444,915,472
904,466,945,499
935,436,973,490
975,470,1012,549
953,527,981,552
974,546,1014,581
928,493,970,536
1037,555,1060,571
1002,575,1032,599
1029,562,1102,632
1044,630,1071,647
1070,649,1098,677
1074,707,1091,728
1020,708,1073,758
996,696,1048,738
1061,810,1093,842
1000,804,1052,837
990,785,1026,812
933,784,979,823
924,772,943,789
880,784,927,827
871,775,889,790
904,751,918,770
924,747,944,764
951,744,978,765
988,676,1006,695
1011,650,1044,680
985,626,1022,652
971,597,1002,629
961,604,974,618
939,575,983,605
922,547,961,582
903,548,920,561
870,560,888,581
889,569,903,584
885,575,932,603
917,605,939,624
890,613,917,628
931,632,975,653
953,646,993,678
910,642,939,686
933,679,963,699
953,694,982,734
1002,755,1018,774
892,690,934,734
862,672,911,704
859,652,883,682
860,597,891,639
846,554,860,570
598,869,610,882
702,863,712,875
726,863,750,883
818,866,832,881
915,863,937,878
969,860,982,873
987,859,998,868
984,866,993,876
995,865,1007,880
1038,855,1050,868
831,833,857,854
882,828,908,858
780,789,810,819
817,773,833,788
833,793,867,819
872,745,887,763
846,739,873,777
850,696,874,728
628,840,644,857
733,795,753,816
758,816,781,840
729,840,750,856
547,813,574,842
596,815,631,842
578,802,595,815
542,774,574,799
533,756,544,772
508,737,519,750
553,729,575,751
464,703,503,727
440,673,470,709
470,663,496,681
420,618,473,674
457,615,474,629
468,626,485,642
477,609,491,627
491,603,508,625
487,573,527,614
427,583,481,612
467,552,501,588
493,522,523,556
482,447,544,510
504,546,571,598
484,622,522,664
525,639,544,654
527,606,552,636
489,687,523,709
511,695,553,738
548,677,577,705
576,699,602,730
509,659,556,683
555,635,578,661
564,655,616,684
598,686,679,758
664,685,685,706
636,648,657,692
553,610,639,662
584,589,599,610
554,546,603,609
545,512,589,554
519,498,556,525
561,500,575,518
561,472,585,496
549,474,562,492
550,453,566,471
573,435,635,489
622,474,642,489
616,491,640,504
581,488,633,525
621,519,636,562
587,521,607,543
603,540,617,554
607,554,623,567
599,568,644,612
640,373,755,454
751,377,765,402
767,385,798,414
762,403,789,442
791,417,827,445
643,435,679,465
639,469,667,481
670,460,714,497
708,460,727,474
635,494,683,529
670,518,702,551
690,498,711,516
710,499,731,517
728,473,770,504
722,443,772,476
771,466,789,489
774,496,788,511
733,511,778,544
703,521,734,543
755,545,776,559
755,556,790,586
643,531,664,547
640,547,668,581
681,550,748,597
670,581,694,600
654,594,673,604
673,603,688,618
636,610,665,634
654,630,700,661
663,663,685,682
687,655,711,681
688,604,725,641
745,588,757,609
762,596,780,608
754,610,772,627
785,576,806,600
776,518,826,562
823,505,849,533
849,496,859,507
771,439,834,513
820,436,867,473
846,469,878,497
855,491,924,544
836,569,876,601
810,538,849,587
790,603,860,649
841,652,858,665
883,632,915,654
772,631,797,653
759,638,774,647
745,654,773,682
785,645,844,682
826,681,845,699
794,690,827,728
772,730,786,744
822,726,842,744
798,744,816,778
767,777,784,792
720,731,734,748
681,754,708,776
631,755,651,773
651,771,675,802
678,797,708,829
637,821,691,850
564,747,603,781
597,764,628,801
708,676,751,709
684,697,711,732
744,707,760,723
770,661,798,715
861,333,898,381
726,738,776,783
812,143,869,192
